ID;journal;publ_yr;year;volume;start_page;end_page;article_group;included_in_analysis;exclusion_criteria;multi_sample_number_of;N_for_analysis;study_design;study_design_red;online_sample;student_sample;supplemental_files
185;PAID;1982;3;3;439;446;PAID (included);1;NA;1;1786;correlational;correlational;0;0;0
186;PAID;1982;3;3;447;451;PAID (included);1;NA;1;12;quasi-experimental (between-design);quasi-experimental;0;0;0
187;PAID;1982;3;NA;NA;NA;PAID (not included);NA;NA;1;NA;NA;NA;NA;NA;NA
188;PAID;1982;3;3;456;467;PAID (included);1;NA;1;75;experimental (between-design);experimental;0;1;0
189;PAID;1982;3;3;457;459;PAID (included);1;NA;1;180;quasi-experimental (between-design);quasi-experimental;0;0;0
190;PAID;1982;3;3;461;463;PAID (included);1;NA;1;51;quasi-experimental (between-design);quasi-experimental;0;0;0
191;PAID;1982;3;3;469;470;PAID (included);1;NA;1;562;correlational;correlational;0;1;0
192;PAID;1982;3;NA;NA;NA;PAID (not included);NA;NA;1;NA;NA;NA;NA;NA;NA
193;PAID;1983;4;4;1;7;PAID (included);1;NA;1;120;experimental (within-design);experimental;0;1;0
194;PAID;1983;4;NA;NA;NA;PAID (not included);NA;NA;1;NA;NA;NA;NA;NA;NA
195;PAID;1983;4;NA;NA;NA;PAID (not included);NA;NA;1;NA;NA;NA;NA;NA;NA
196;PAID;1983;4;4;23;29;PAID (included);1;NA;1;120;quasi-experimental (between-design);quasi-experimental;0;0;0
197;PAID;1983;4;4;31;40;PAID (included);1;NA;1;172;quasi-experimental (between-design);quasi-experimental;0;0;0
198;PAID;1983;4;NA;NA;NA;PAID (not included);NA;NA;1;NA;NA;NA;NA;NA;NA
199;PAID;1983;4;NA;NA;NA;PAID (not included);NA;NA;1;NA;NA;NA;NA;NA;NA
200;PAID;1983;4;NA;NA;NA;PAID (not included);NA;NA;1;NA;NA;NA;NA;NA;NA
201;PAID;1983;4;4;71;87;PAID (included);1;NA;1;1856;correlational;correlational;0;0;0
202;PAID;1983;4;4;89;94;PAID (included);1;NA;1;34;correlational;correlational;0;0;0
203;PAID;1983;4;NA;NA;NA;PAID (not included);NA;NA;1;NA;NA;NA;NA;NA;NA
204;PAID;1983;4;NA;NA;NA;PAID (not included);NA;NA;1;NA;NA;NA;NA;NA;NA
205;PAID;1983;4;NA;NA;NA;PAID (not included);NA;NA;1;NA;NA;NA;NA;NA;NA
206;PAID;1983;4;NA;NA;NA;PAID (not included);NA;NA;1;NA;NA;NA;NA;NA;NA
207;PAID;1983;4;NA;NA;NA;PAID (not included);NA;NA;1;NA;NA;NA;NA;NA;NA
208;PAID;1983;4;NA;NA;NA;PAID (not included);NA;NA;1;NA;NA;NA;NA;NA;NA
209;PAID;1983;4;4;113;115;PAID (included);1;NA;1;66;quasi-experimental (between-design);quasi-experimental;0;0;0
210;PAID;1983;4;4;117;120;PAID (included);1;NA;1;320;quasi-experimental (between-design);quasi-experimental;0;0;0
211;PAID;1983;4;NA;NA;NA;PAID (not included);NA;NA;1;NA;NA;NA;NA;NA;NA
212;PAID;1983;4;4;123;126;PAID (included);0;book review;1;NA;NA;NA;NA;NA;NA
213;PAID;1983;4;4;127;134;PAID (included);1;NA;1;84;quasi-experimental (between-design);quasi-experimental;0;1;0
214;PAID;1983;4;4;135;140;PAID (included);1;NA;1;463;correlational;correlational;0;1;0
215;PAID;1983;4;NA;NA;NA;PAID (not included);NA;NA;1;NA;NA;NA;NA;NA;NA
216;PAID;1983;4;4;147;156;PAID (included);1;NA;1;11;experimental (between-design);experimental;0;0;0
216;PAID;1983;4;4;147;156;PAID (included);1;NA;2;11;experimental (between-design);experimental;0;0;0
217;PAID;1983;4;NA;NA;NA;PAID (not included);NA;NA;1;NA;NA;NA;NA;NA;NA
218;PAID;1983;4;NA;NA;NA;PAID (not included);NA;NA;1;NA;NA;NA;NA;NA;NA
219;PAID;1983;4;4;171;178;PAID (included);1;NA;1;236;quasi-experimental (between-design);quasi-experimental;0;0;0
220;PAID;1983;4;NA;NA;NA;PAID (not included);NA;NA;1;NA;NA;NA;NA;NA;NA
221;PAID;1983;4;NA;NA;NA;PAID (not included);NA;NA;1;NA;NA;NA;NA;NA;NA
222;PAID;1983;4;4;199;200;PAID (included);1;NA;1;562;correlational;correlational;0;1;0
